num_load_level;;;;;;;;;;;;
1;;;;;;;;;;;;
stage;month;year;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection
85;1;2023;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0249;1.0307;0.8599
86;2;2023;1.1067;1.0067;1;1;0.9278;1.0747;1;1.0224;1.0311;0.8583
87;3;2023;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0287;1.0307;0.8599
88;4;2023;1.11;1.0068;1;1;0.9252;1.0778;1;1.0329;1.0323;0.8537
89;5;2023;1.1092;1.0068;1;1;0.9258;1.0771;1;1.0416;1.0321;0.8548
90;6;2023;1.1062;1.0067;1;1;0.9282;1.0742;1;1.0315;1.0309;0.8591
91;7;2023;1.102;1.0064;1;1;0.9315;1.0702;1;1.0299;1.0293;0.8652
92;8;2023;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0314;1.0307;0.8599
93;9;2023;1.1062;1.0067;1;1;0.9282;1.0742;1;1.0291;1.0309;0.8591
94;10;2023;1.1054;1.0066;1;1;0.9288;1.0735;1;1.0276;1.0306;0.8602
95;11;2023;1.11;1.0068;1;1;0.9252;1.0778;1;1.0231;1.0323;0.8537
96;12;2023;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0178;1.0307;0.8599
97;1;2024;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0249;1.0307;0.8599
98;2;2024;1.1067;1.0067;1;1;0.9278;1.0747;1;1.0224;1.0311;0.8583
99;3;2024;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0287;1.0307;0.8599
100;4;2024;1.11;1.0068;1;1;0.9252;1.0778;1;1.0329;1.0323;0.8537
101;5;2024;1.1092;1.0068;1;1;0.9258;1.0771;1;1.0416;1.0321;0.8548
102;6;2024;1.1062;1.0067;1;1;0.9282;1.0742;1;1.0315;1.0309;0.8591
103;7;2024;1.102;1.0064;1;1;0.9315;1.0702;1;1.0299;1.0293;0.8652
104;8;2024;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0314;1.0307;0.8599
