number;name;subsystem;basin;hydro plants downstream;hydro_plant_operating; run-of-river hydro plants;historical_inflow;max_generation;production_factor;maximum turbined outflow;minimum outflow;forced_indisponibility;programmer_indisponibility;min_volume;max_volume;COTA_MINIMO;COTA_MAXIMO;COTA_MINIMO_OPERACIONAL;COTA_MAXIMO_OPERACIONAL;CANAL_FUGA_MEDIO;initial_volume;POLI_COTA_VOLUME_0;POLI_COTA_VOLUME_1;POLI_COTA_VOLUME_2;POLI_COTA_VOLUME_3;POLI_COTA_VOLUME_4;POLI_COTA_AREA_0;POLI_COTA_AREA_1;POLI_COTA_AREA_2;POLI_COTA_AREA_3;POLI_COTA_AREA_4;EVAPORACAO_01;EVAPORACAO_02;EVAPORACAO_03;EVAPORACAO_04;EVAPORACAO_05;EVAPORACAO_06;EVAPORACAO_07;EVAPORACAO_08;EVAPORACAO_09;EVAPORACAO_10;EVAPORACAO_11;EVAPORACAO_12;POLI_JUSANTE_1_HREF;POLI_JUSANTE_1_COEF_0;POLI_JUSANTE_1_COEF_1;POLI_JUSANTE_1_COEF_2;POLI_JUSANTE_1_COEF_3;POLI_JUSANTE_1_COEF_4;POLI_JUSANTE_2_HREF;POLI_JUSANTE_2_COEF_0;POLI_JUSANTE_2_COEF_1;POLI_JUSANTE_2_COEF_2;POLI_JUSANTE_2_COEF_3;POLI_JUSANTE_2_COEF_4;POLI_JUSANTE_3_HREF;POLI_JUSANTE_3_COEF_0;POLI_JUSANTE_3_COEF_1;POLI_JUSANTE_3_COEF_2;POLI_JUSANTE_3_COEF_3;POLI_JUSANTE_3_COEF_4;POLI_JUSANTE_4_HREF;POLI_JUSANTE_4_COEF_0;POLI_JUSANTE_4_COEF_1;POLI_JUSANTE_4_COEF_2;POLI_JUSANTE_4_COEF_3;POLI_JUSANTE_4_COEF_4;POLI_JUSANTE_5_HREF;POLI_JUSANTE_5_COEF_0;POLI_JUSANTE_5_COEF_1;POLI_JUSANTE_5_COEF_2;POLI_JUSANTE_5_COEF_3;POLI_JUSANTE_5_COEF_4;POLI_JUSANTE_6_HREF;POLI_JUSANTE_6_COEF_0;POLI_JUSANTE_6_COEF_1;POLI_JUSANTE_6_COEF_2;POLI_JUSANTE_6_COEF_3;POLI_JUSANTE_6_COEF_4;CONJUNTO_1_NUM_MAQUINAS;CONJUNTO_1_POTENCIA_REF;CONJUNTO_1_VAZAO_REF;CONJUNTO_1_QUEDA_REF;CONJUNTO_1_TIPO_TURBINA;CONJUNTO_2_NUM_MAQUINAS;CONJUNTO_2_POTENCIA_REF;CONJUNTO_2_VAZAO_REF;CONJUNTO_2_QUEDA_REF;CONJUNTO_2_TIPO_TURBINA;CONJUNTO_3_NUM_MAQUINAS;CONJUNTO_3_POTENCIA_REF;CONJUNTO_3_VAZAO_REF;CONJUNTO_3_QUEDA_REF;CONJUNTO_3_TIPO_TURBINA;CONJUNTO_4_NUM_MAQUINAS;CONJUNTO_4_POTENCIA_REF;CONJUNTO_4_VAZAO_REF;CONJUNTO_4_QUEDA_REF;CONJUNTO_4_TIPO_TURBINA;CONJUNTO_5_NUM_MAQUINAS;CONJUNTO_5_POTENCIA_REF;CONJUNTO_5_VAZAO_REF;CONJUNTO_5_QUEDA_REF;CONJUNTO_5_TIPO_TURBINA
110;BARRA GRANDE;2;2;114;1;0;110;690;0.009025;516;13;0.65;3.73;2711.79;4904.45;617;647;617;647;480.63;93.2;539.861;0.0445606;-8.15E-06;9.32E-10;-4.39E-14;207072;-1338.37;3.2448;-0.00349878;1.42E-06;-60;-38;-2;55;91;98;98;85;48;-2;-40;-68;0;479.953;0.00161763;-4.52E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;230;172;148.37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;SAO ROQUE   ;2;2;112;0;0;111;141.93;0.008976;309;14;1.672;5.403;336.72;795.67;746;760;746;760;706.43;0;717.957;0.138241;-0.000226568;2.17E-07;-8.38E-11;173959;-674.644;0.869314;-0.000372;0;-56;-39;-6;46;79;87;82;71;38;-9;-41;-62;0;705.597;0.0036996;-3.03E-06;1.43E-09;-2.23E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;47.31;103;48.6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112;GARIBALDI   ;2;2;113;1;0;112;189;0.009025;501;17;1.558;4.86;232;296;702.5;705;702.5;705;660.56;69;693.287;0.0396322;0;0;0;-1037.81;1.51;0;0;0;-59;-38;-5;51;86;93;91;81;46;-4;-39;-64;0;659.923;0.00150938;1.60E-08;-7.74E-11;1.45E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;63;167;41.9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113;CAMPOS NOVOS;2;2;114;1;0;113;879.999;0.008927;558;17;1.213;3.806;1320;1477;655;660;655;660;472.7;20.03;242.921;1.07415;-0.00110371;5.21E-07;-9.24E-11;-126.446;0.240168;-1.23E-07;-1.39E-10;1.53E-13;-60;-38;-2;55;90;97;96;85;48;-2;-39;-67;0;470.1;0.0100876;-5.59E-06;1.73E-09;-2.01E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;293.333;186;177;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
114;MACHADINHO  ;2;2;115;1;0;114;1140;0.008927;1311;44;0.084;2.869;2283;3340;465;480;465;480;371.2;95;401.217;0.0500965;-1.57E-05;3.30E-09;-2.88E-13;3325.72;-19.0649;0.0282416;8.16E-06;-2.83E-08;-1;24;57;77;81;68;52;36;12;-15;-25;-25;0;371.936;0.00193242;-8.53E-08;2.38E-12;-2.62E-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;380;437;97.3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;ITA         ;2;2;121;1;1;115;1450;0.008927;1590;49;0.278;2.968;5100;5100;370;370;370;370;265.1;0;370;0;0;0;0;141.18;0;0;0;0;-66;-37;-2;62;97;111;110;94;60;4;-39;-75;0;261.363;0.00301186;-5.64E-07;6.79E-11;-3.03E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;290;318;102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
116;PASSO FUNDO ;2;2;117;1;0;116;226;0.008926;102;1;0.054;2.853;185;1589;584;598;584;598;335.5;99;580.391;0.0221501;-1.41E-05;6.34E-09;-1.15E-12;-2857.81;2.94494;0.00348711;0;0;-29;0;40;77;94;93;84;67;31;-11;-31;-47;0;335.1;0.00816667;-5.67E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;113;51;247;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
117;MONJOLINHO  ;2;2;121;1;1;117;74;0.009025;134;2;0.314;2.559;150.48;150.48;328.5;328.5;328.5;328.5;265.25;0;174.9;3.58705;-0.0345038;0.000155392;-2.62E-07;152242;-1860.28;8.52318;-0.0173543;1.33E-05;-69;-40;-4;62;96;114;110;93;59;2;-43;-80;0;264.924;0.00226935;3.02E-07;-1.66E-10;1.76E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;37;67;61;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;QUEBRA QUEIX;2;2;-1;1;0;118;120;0.009025;114;3;0.561;4.831;111;137;544;549;544;549;426.7;100;503.945;0.541329;-0.00196869;3.09E-06;0;-28922;162.803;-0.305614;0.000191339;0;11;32;58;78;78;65;49;34;14;-14;-18;-10;0;426.018;0.00826886;-2.41E-05;3.49E-08;-1.81E-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;40;38;117.7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;SAO JOSE    ;2;2;120;1;1;119;51;0.008731;288;20;2.357;4.665;186.33;186.33;154.67;154.67;154.67;154.67;131.35;0;154.67;0;0;0;0;23.46;0;0;0;0;-5;21;57;81;95;82;66;44;13;-19;-34;-21;0;130.664;0.00229069;-2.35E-07;1.86E-11;-5.69E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;25.5;144;20.26;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;PASSO S JOAO;2;2;-1;1;1;120;77;0.009064;326;21;2.59;4.959;102.4;102.4;128.35;128.35;128.35;128.35;99.02;0;118.571;0.186156;-0.00127874;3.84E-06;0;-303.484;2.525;-1.42E-14;0;0;-28;-2;38;75;99;94;86;69;35;-7;-28;-35;0;97.5507;0.00621425;-5.32E-06;3.54E-09;-9.31E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;38.5;163;26;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;FOZ CHAPECO ;2;2;-1;1;1;121;855;0.009092;1888;79;0.667;4.159;1427.5;1501.8;264;265;264;265;212.83;0;244.787;0.0134591;-1.93E-10;8.46E-14;-1.39E-17;193878;-3079.19;18.3181;-0.0483983;4.80E-05;-74;-43;-11;57;91;114;107;90;58;-1;-48;-85;0;210.708;0.00154505;-1.59E-07;1.22E-11;-3.69E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;213.75;472;49.8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;CASTRO ALVES;2;1;123;1;1;122;129.999;0.009025;159;3;0.435;4.528;87;92;239;240;239;240;148;0;209.603;0.569508;-0.00410112;2.01E-05;-4.01E-08;494493;-8321.04;52.4957;-0.14716;0.000154667;-68;-43;3;63;101;110;109;94;49;-1;-44;-84;0;136.528;0.0212832;-3.41E-05;2.88E-08;-9.14E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;43.333;53;91;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;MONTE CLARO ;2;1;124;1;1;123;130;0.009025;372;8;0.248;7.379;10.1;11.28;147;148;147;148;104;0;135.775;1.4997;-0.0486318;0.00108676;-1.04E-05;-7277.61;193.405;-1.92385;0.00848667;-1.40E-05;0;24;64;81;84;66;49;30;5;-23;-32;-30;0;105.125;0.00367275;-3.30E-07;2.04E-11;-4.99E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;65;186;38.8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;14 DE JULHO ;2;1;-1;1;1;124;100;0.009083;340;8;0.094;5.284;49.31;55;103;104;103;104;70.5;0;79.667;0.984767;-0.0149511;0.000118964;-3.55E-07;-1347.13;56.1498;-0.87352;0.00600057;-1.53E-05;1;25;64;81;84;67;49;30;4;-24;-31;-31;0;67.4415;0.00502054;-1.12E-06;1.44E-10;-6.93E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;50;170;32.4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125;ERNESTINA   ;2;1;126;1;0;125;0;0;0;1;0;0;21;259;482.5;489.5;482.5;489.5;457.35;100;480.611;0.10626;-0.000703562;2.59E-06;-3.67E-09;54770;-229.748;0.240937;0;0;-20;9;52;82;96;84;71;52;20;-16;-33;-53;0;457.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126;PASSO REAL  ;2;1;127;1;0;126;158;0.009221;466;12;0.805;4.253;289;3646;300;327;300;327;279.3;90.2;293.938;0.0239738;-9.65E-06;2.30E-09;-2.12E-13;32399;-297.181;0.888556;-0.000858225;0;-68;-41;5;69;109;121;115;100;54;-1;-43;-92;0;277.8;0.00554586;-1.64E-06;2.81E-10;-1.68E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;82;242;36.8;2;1;76;224;36.8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127;JACUI       ;2;1;128;1;1;127;180;0.008731;234;12;0.947;2.878;29;29;279.89;279.89;279.89;279.89;182.37;0;279.89;0;0;0;0;4.8;0;0;0;0;-5;21;61;86;93;76;60;41;9;-21;-34;-45;0;181.37;0.00557208;-1.61E-06;2.84E-10;-1.81E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;30;39;89;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128;ITAUBA      ;2;1;129;1;1;128;500;0.009221;620;15;0.425;2.036;620;620;184;184;184;184;92.7;0;184;0;0;0;0;17;0;0;0;0;-70;-44;3;68;108;119;113;98;49;-5;-51;-89;0;91.92;0.00544788;-1.46E-06;1.93E-10;-9.65E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;125;155;87.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129;D. FRANCISCA;2;1;-1;1;1;129;125;0.008633;376;21;0.518;2.587;330;330;94.5;94.5;94.5;94.5;54.35;0;94.5;0;0;0;0;18.9;0;0;0;0;-73;-48;1;66;109;118;112;95;45;-10;-56;-88;0;53.3325;0.00481084;-2.40E-06;8.99E-10;-1.26E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;62.5;188;38.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;G.P. SOUZA  ;2;3;-1;1;0;130;260;0.008829;40;7;2.291;2.686;23;179;822;845;822;845;90.7;84.5;812.605;0.491744;-0.00401152;1.95E-05;-3.80E-08;9513.58;-23.2618;0.0142228;0;0;6;16;27;38;46;41;25;8;3;-10;-24;-15;0;90.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;65;10;714.3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131;SALTO PILAO ;2;3;-1;1;1;131;191.89;0.009015;110;9;0.185;4.3;0.12;0.26;318;319;318;319;112.69;0;316.622;15.2326;-37.9009;66.2593;-43.3178;1037.61;-6.53758;0.010299;0;0;20;14;19;22;22;17;15;20;18;10;15;20;0;111.89;0.0069696;-7.06E-06;5.41E-09;-1.54E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;95.945;55;194;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132;JORDAO      ;2;4;134;1;0;132;0;0;0;15;0;0;85;110;602;610;602;610;602;100;574.8;0.32;0;0;0;1;0;0;0;0;9;28;54;75;75;64;45;32;15;-12;-14;-1;0;602;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;SEGREDO     ;2;4;134;1;0;133;1260;0.009026;1268;94;0.569;6.061;2562;2950;602;607;602;607;490;100;552.545;0.0246922;-2.10E-06;0;0;-586.13;0.801997;0.000488253;0;0;6;26;54;76;77;67;47;34;15;-13;-16;-5;0;490.039;6.08E-05;2.92E-07;-2.32E-11;4.56E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;315;317;110;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134;SLT.SANTIAGO;2;4;135;1;0;134;1420;0.008829;1576;116;3.282;4.724;2662;6775;481;506;481;506;397.46;99;447.732;0.0182332;-2.87E-06;3.00E-10;-1.27E-14;-9865.2;54.4319;-0.0916318;2.07E-05;5.05E-08;8;27;54;76;79;67;47;33;18;-12;-17;-6;0;394.416;0.00211101;-7.92E-08;2.35E-12;-2.71E-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;355;394;102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135;SALTO OSORIO;2;4;136;1;1;135;1078;0.008829;1784;119;0.406;3.749;1124;1124;397;397;397;397;324;0;397;0;0;0;0;56;0;0;0;0;9;27;51;69;75;63;43;30;18;-15;-19;-8;0;321.837;0.00228099;-1.40E-07;3.84E-12;-5.36E-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;182;301;68.4;1;2;175;290;68.4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
136;SALTO CAXIAS;2;4;109;1;1;136;1240;0.009026;2100;148;0.211;3.954;3573;3573;325;325;325;325;258.7;0;325;0;0;0;0;141.43;0;0;0;0;5;26;49;65;72;61;41;30;17;-18;-26;-15;0;257.92;0.000620838;-1.72E-08;2.28E-13;1.22E-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;310;525;65.4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137;SOBRADINHO  ;3;15;138;1;0;137;1050;0.009023;4278;427;2.193;7.578;5447;34116;380.5;392.5;380.5;392.5;362.5;1.96;374.179;0.00139669;-5.35E-08;1.16E-12;-9.55E-18;-503710;4913.79;-8.96689;-0.0189169;4.65E-05;171;109;61;56;108;104;165;203;234;267;245;223;0;359.654;0.00196401;-2.97E-07;2.51E-11;-7.70E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;175;713;27.2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138;ITAPARICA   ;3;15;139;1;0;138;1479.6;0.008931;3264;501;3.15;4.328;7234;10782;299;304;299;304;251.5;12.56;275.813;0.00676489;-8.87E-07;7.07E-11;-2.24E-15;-199695;1822.24;-4.4357;-0.00191761;1.29E-05;163;88;47;35;55;41;81;138;190;227;235;202;0;251.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;246.6;544;50.8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
