num_load_level;;;;;;;
1;;;;;;;
stage;month;year;num_subsystem;num_subsystem;num_subsystem;num_subsystem;num_subsystem
65;5;2021;0.8255;0.7898;0.8831;0.9336;1
66;6;2021;0.8318;0.7856;0.8825;0.9428;1
67;7;2021;0.8227;0.7672;0.8755;0.9413;1
68;8;2021;0.8288;0.7831;0.8752;0.9455;1
69;9;2021;0.8343;0.7912;0.877;0.9491;1
70;10;2021;0.8376;0.7868;0.8704;0.9484;1
71;11;2021;0.8497;0.8172;0.8984;0.9583;1
72;12;2021;0.8663;0.8419;0.9076;0.9603;1
73;1;2022;0.8466;0.8294;0.9024;0.9538;1
74;2;2022;0.8638;0.8495;0.9018;0.9588;1
75;3;2022;0.8495;0.8207;0.887;0.9509;1
76;4;2022;0.8427;0.7989;0.8844;0.9491;1
77;5;2022;0.8255;0.7898;0.8831;0.9336;1
78;6;2022;0.8318;0.7856;0.8825;0.9428;1
79;7;2022;0.8227;0.7672;0.8755;0.9413;1
80;8;2022;0.8288;0.7831;0.8752;0.9455;1
81;9;2022;0.8343;0.7912;0.877;0.9491;1
82;10;2022;0.8376;0.7868;0.8704;0.9484;1
83;11;2022;0.8497;0.8172;0.8984;0.9583;1
84;12;2022;0.8663;0.8419;0.9076;0.9603;1
85;1;2023;0.8466;0.8294;0.9024;0.9538;1
86;2;2023;0.8638;0.8495;0.9018;0.9588;1
87;3;2023;0.8495;0.8207;0.887;0.9509;1
88;4;2023;0.8427;0.7989;0.8844;0.9491;1
89;5;2023;0.8255;0.7898;0.8831;0.9336;1
90;6;2023;0.8318;0.7856;0.8825;0.9428;1
91;7;2023;0.8227;0.7672;0.8755;0.9413;1
92;8;2023;0.8288;0.7831;0.8752;0.9455;1
93;9;2023;0.8343;0.7912;0.877;0.9491;1
94;10;2023;0.8376;0.7868;0.8704;0.9484;1
95;11;2023;0.8497;0.8172;0.8984;0.9583;1
96;12;2023;0.8663;0.8419;0.9076;0.9603;1
97;1;2024;0.8466;0.8294;0.9024;0.9538;1
98;2;2024;0.8638;0.8495;0.9018;0.9588;1
99;3;2024;0.8495;0.8207;0.887;0.9509;1
100;4;2024;0.8427;0.7989;0.8844;0.9491;1
101;5;2024;0.8255;0.7898;0.8831;0.9336;1
102;6;2024;0.8318;0.7856;0.8825;0.9428;1
103;7;2024;0.8227;0.7672;0.8755;0.9413;1
104;8;2024;0.8288;0.7831;0.8752;0.9455;1
105;9;2024;0.8343;0.7912;0.877;0.9491;1
106;10;2024;0.8376;0.7868;0.8704;0.9484;1
107;11;2024;0.8497;0.8172;0.8984;0.9583;1
108;12;2024;0.8663;0.8419;0.9076;0.9603;1
109;1;2025;0.8466;0.8294;0.9024;0.9538;1
110;2;2025;0.8638;0.8495;0.9018;0.9588;1
111;3;2025;0.8495;0.8207;0.887;0.9509;1
112;4;2025;0.8427;0.7989;0.8844;0.9491;1
113;5;2025;0.8255;0.7898;0.8831;0.9336;1
114;6;2025;0.8318;0.7856;0.8825;0.9428;1
115;7;2025;0.8227;0.7672;0.8755;0.9413;1
116;8;2025;0.8288;0.7831;0.8752;0.9455;1
117;9;2025;0.8343;0.7912;0.877;0.9491;1
118;10;2025;0.8376;0.7868;0.8704;0.9484;1
119;11;2025;0.8497;0.8172;0.8984;0.9583;1
120;12;2025;0.8663;0.8419;0.9076;0.9603;1
end;;;;;;;
end;;;;;;;
